,ticker,name,sector,industry,date_added,date_removed,reason_removed,is_in_index
177,EFX,Equifax,Industrials,Research & Consulting Services,1997-06-19,,,True
178,EQIX,Equinix,Real Estate,Specialized REITs,2015-03-20,,,True
179,EQR,Equity Residential,Real Estate,Residential REITs,2001-12-03,,,True
180,ESS,Essex Property Trust,Real Estate,Residential REITs,2014-04-02,,,True
181,EL,Estée Lauder Companies (The),Consumer Staples,Personal Products,2006-01-05,,,True
182,ETSY,Etsy,Consumer Discretionary,Internet & Direct Marketing Retail,2020-09-21,,,True
183,RE,Everest Re,Financials,Reinsurance,2017-06-19,,,True
184,EVRG,Evergy,Utilities,Electric Utilities,2018-06-05,,,True
185,ES,Eversource,Utilities,Multi-Utilities,2009,,,True
186,EXC,Exelon,Utilities,Multi-Utilities,1957-03-04,,,True
187,EXPE,Expedia Group,Consumer Discretionary,Internet & Direct Marketing Retail,2007-10-02,,,True
188,EXPD,Expeditors International,Industrials,Air Freight & Logistics,2007-10-10,,,True
189,EXR,Extra Space Storage,Real Estate,Specialized REITs,2016-01-19,,,True
190,XOM,ExxonMobil,Energy,Integrated Oil & Gas,1957-03-04,,,True
191,FFIV,"F5, Inc.",Information Technology,Communications Equipment,2010-12-20,,,True
192,FDS,FactSet,Financials,Financial Exchanges & Data,2021-12-20,,,True
193,FAST,Fastenal,Industrials,Building Products,2008-09-15,,,True
194,FRT,Federal Realty,Real Estate,Retail REITs,2016-02-01,,,True
195,FDX,FedEx,Industrials,Air Freight & Logistics,1980-12-31,,,True
196,FITB,Fifth Third Bank,Financials,Regional Banks,1996-03-29,,,True
197,FRC,First Republic Bank,Financials,Regional Banks,2019-01-02,,,True
198,FSLR,First Solar,Information Technology,Semiconductors,2022-12-19,,,True
199,FE,FirstEnergy,Utilities,Electric Utilities,1997-11-28,,,True
200,FIS,FIS,Information Technology,Data Processing & Outsourced Services,2006-11-10,,,True
201,FISV,Fiserv,Information Technology,Data Processing & Outsourced Services,2001-04-02,,,True
202,FLT,Fleetcor,Information Technology,Data Processing & Outsourced Services,2018-06-20,,,True
203,FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,2009-08-19,,,True
204,F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,1957-03-04,,,True
205,FTNT,Fortinet,Information Technology,Systems Software,2018-10-11,,,True
